fecha,estacion,temperatura,precipitacion,humedad,presion_atmosferica,velocidad_viento,calidad_aire,radiacion_solar,region,elevacion
2023-01-01,Estacion_1,24.2,0.0,55.1,1012.2,3.4,122.9,381.6,Costa,10
2023-01-02,Estacion_1,23.7,0.0,58.5,1012.1,4.1,34.2,287.7,Costa,10
2023-01-03,Estacion_1,25.2,0.0,56.1,1008.5,12.5,65.0,282.2,Costa,10
2023-01-04,Estacion_1,25.1,0.0,57.2,1010.8,9.5,56.3,351.6,Costa,10
2023-01-05,Estacion_1,23.5,0.6,66.4,1009.7,5.8,198.7,396.0,Costa,10
2023-01-06,Estacion_1,26.4,0.0,59.4,1010.2,4.6,36.8,297.7,Costa,10
2023-01-07,Estacion_1,24.1,0.0,62.4,1011.2,5.1,80.6,386.8,Costa,10
2023-01-08,Estacion_1,24.4,0.0,59.0,1009.5,6.6,100.5,403.7,Costa,10
2023-01-09,Estacion_1,24.5,0.0,60.1,1013.3,10.7,95.2,385.4,Costa,10
2023-01-10,Estacion_1,25.9,0.0,66.8,1011.2,7.5,61.7,289.3,Costa,10
2023-01-11,Estacion_1,27.7,0.0,56.1,1012.3,6.0,46.7,415.3,Costa,10
2023-01-12,Estacion_1,25.1,0.0,57.3,1012.5,6.5,103.0,420.6,Costa,10
2023-01-13,Estacion_1,26.7,0.0,54.6,1011.3,5.9,108.1,353.9,Costa,10
2023-01-14,Estacion_1,26.7,0.0,57.1,1011.2,3.9,56.3,378.4,Costa,10
2023-01-15,Estacion_1,23.8,0.0,62.4,1011.6,8.8,62.8,255.2,Costa,10
2023-01-16,Estacion_1,27.1,0.0,70.1,1012.5,5.2,57.0,388.8,Costa,10
2023-01-17,Estacion_1,27.1,0.0,63.5,1012.9,4.2,46.5,441.6,Costa,10
2023-01-18,Estacion_1,28.2,0.0,67.7,1011.0,7.1,93.2,468.3,Costa,10
2023-01-19,Estacion_1,28.8,0.2,59.6,1009.9,5.6,44.7,466.4,Costa,10
2023-01-20,Estacion_1,27.1,0.0,53.4,1013.0,11.7,40.5,291.3,Costa,10
2023-01-21,Estacion_1,28.1,0.0,49.6,1013.5,4.7,78.6,396.7,Costa,10
2023-01-22,Estacion_1,28.9,0.0,62.1,1012.2,5.7,48.0,483.3,Costa,10
2023-01-23,Estacion_1,28.8,0.0,59.7,1010.3,7.2,103.0,348.4,Costa,10
2023-01-24,Estacion_1,28.9,0.0,60.7,1011.4,5.7,47.3,386.4,Costa,10
2023-01-25,Estacion_1,29.0,0.0,62.0,1012.6,6.4,56.9,526.6,Costa,10
2023-01-26,Estacion_1,27.2,0.3,63.0,1011.5,10.4,86.2,350.0,Costa,10
2023-01-27,Estacion_1,29.9,0.0,52.7,1013.0,6.4,85.1,404.9,Costa,10
2023-01-28,Estacion_1,27.6,0.0,58.1,1013.3,5.7,64.6,329.0,Costa,10
2023-01-29,Estacion_1,31.1,0.0,56.3,1012.5,7.6,63.9,456.0,Costa,10
2023-01-30,Estacion_1,30.1,0.0,60.5,1012.1,4.5,68.0,410.1,Costa,10
2023-01-31,Estacion_1,28.1,0.2,48.1,1012.2,4.6,52.5,436.4,Costa,10
2023-02-01,Estacion_1,31.9,0.0,53.7,1010.7,6.2,69.1,526.8,Costa,10
2023-02-02,Estacion_1,30.6,0.0,54.4,1012.4,7.0,48.9,449.8,Costa,10
2023-02-03,Estacion_1,28.7,0.0,64.5,1011.0,7.0,49.1,324.5,Costa,10
2023-02-04,Estacion_1,31.3,0.0,55.4,1014.2,10.9,37.4,390.2,Costa,10
2023-02-05,Estacion_1,29.7,0.0,64.5,1006.9,17.9,43.2,480.1,Costa,10
2023-02-06,Estacion_1,28.1,0.0,56.2,1011.1,12.8,103.2,382.5,Costa,10
2023-02-07,Estacion_1,30.1,0.0,55.1,1011.9,5.4,83.4,508.5,Costa,10
2023-02-08,Estacion_1,27.6,0.0,59.5,1011.6,7.2,71.0,345.8,Costa,10
2023-02-09,Estacion_1,32.0,0.4,51.2,1010.7,6.7,54.9,439.0,Costa,10
2023-02-10,Estacion_1,31.7,0.0,49.1,1010.9,5.5,35.1,356.6,Costa,10
2023-02-11,Estacion_1,31.7,0.0,52.1,1014.1,11.5,53.1,419.1,Costa,10
2023-02-12,Estacion_1,32.5,0.0,55.9,1011.3,9.4,56.7,394.9,Costa,10
2023-02-13,Estacion_1,31.3,0.0,56.5,1009.1,8.1,53.0,452.8,Costa,10
2023-02-14,Estacion_1,32.3,0.0,52.5,1010.4,5.7,133.0,454.8,Costa,10
2023-02-15,Estacion_1,33.5,0.0,52.7,1011.0,4.3,79.9,479.3,Costa,10
2023-02-16,Estacion_1,29.4,0.0,48.5,1010.8,3.7,112.1,293.0,Costa,10
2023-02-17,Estacion_1,34.0,0.0,50.8,1010.2,4.2,48.5,438.9,Costa,10
2023-02-18,Estacion_1,32.3,0.0,48.5,1012.5,8.3,65.6,406.6,Costa,10
2023-02-19,Estacion_1,32.6,0.0,53.4,1011.8,4.6,77.0,429.7,Costa,10
2023-02-20,Estacion_1,34.2,0.0,55.5,1013.6,10.0,135.5,437.4,Costa,10
